"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"","","ticket-choose","31","521674","0.0-31.0","","","","0","13","","","","","176","1","4",""
"","","ticket-choose","32","531367","0.0-32.0","","","","0","14","","","","","164","2","1",""
"","","ticket-choose","33","542839","0.0-33.0","","","","0","15","","","","","167","1","2",""
"","","ticket-choose","34","548099","0.0-34.0","","","","0","16","","","","","159","1","2",""
"","","ticket-choose","35","562130","0.0-35.0","","","","0","17","","","","","153","3","0",""
"","","ticket-choose","36","566190","0.0-36.0","","","","0","18","","","","","151","3","0",""
"","","ticket-choose","37","570889","0.0-37.0","","","","0","19","","","","","150","3","0",""
"","","ticket-choose","38","575812","0.0-38.0","","","","0","20","","","","","155","2","1",""
"","","ticket-choose","39","580474","0.0-39.0","","","","0","21","","","","","154","2","1",""
"","","ticket-choose","40","589838","0.0-40.0","","","","0","22","","","","","150","2","1",""
"","","ticket-choose","41","598940","0.0-41.0","","","","0","23","","","","","174","1","2",""
"","","ticket-choose","42","607905","0.0-42.0","","","","0","24","","","","","165","2","1",""
"","","ticket-choose","43","617209","0.0-43.0","","","","0","25","","","","","163","1","2",""
"","","ticket-choose","44","621058","0.0-44.0","","","","0","26","","","","","156","3","0",""
"","","ticket-choose","45","623974","0.0-45.0","","","","0","27","","","","","145","3","0",""
"","","ticket-choose","46","629108","0.0-46.0","","","","0","28","","","","","163","2","1",""
"","","ticket-choose","47","635287","0.0-47.0","","","","0","29","","","","","163","1","3",""
"","","ticket-choose","48","646701","0.0-48.0","","","","0","30","","","","","188","1","4",""
"","","ticket-choose","49","656859","0.0-49.0","","","","0","31","","","","","154","3","0",""
"","","ticket-choose","50","666091","0.0-50.0","","","","0","32","","","","","171","1","2",""
"","","ticket-choose","51","671311","0.0-51.0","","","","0","33","","","","","156","1","3",""
"","","ticket-choose","52","679509","0.0-52.0","","","","0","34","","","","","169","2","1",""
"","","ticket-choose","53","687546","0.0-53.0","","","","0","35","","","","","138","2","1",""
"","","ticket-choose","54","699790","0.0-54.0","","","","0","36","","","","","155","3","0",""
"","","ticket-choose","55","704465","0.0-55.0","","","","0","37","","","","","126","3","0",""
"","","ticket-choose","56","710863","0.0-56.0","","","","0","38","","","","","147","3","0",""
"","","ticket-choose","57","721630","0.0-57.0","","","","0","39","","","","","149","3","0",""
"","","ticket-choose","58","725513","0.0-58.0","","","","0","40","","","","","137","3","0",""
"","","ticket-choose","59","731875","0.0-59.0","","","","0","41","","","","","163","1","2",""
"","","ticket-choose","60","740551","0.0-60.0","","","","0","42","","","","","160","2","1",""
"","","ticket-choose","61","750486","0.0-61.0","","","","0","43","","","","","175","1","2",""
"","","ticket-choose","62","759989","0.0-62.0","","","","0","44","","","","","163","3","0",""
"","","ticket-choose","63","764620","0.0-63.0","","","","0","45","","","","","167","2","1",""
"","","ticket-choose","64","767694","0.0-64.0","","","","0","46","","","","","143","3","0",""
"","","ticket-choose","65","777352","0.0-65.0","","","","0","47","","","","","161","2","1",""
"","","ticket-choose","66","781104","0.0-66.0","","","","0","48","","","","","161","1","4",""
"","","ticket-choose","67","786669","0.0-67.0","","","","0","49","","","","","146","2","1",""
"","","bar-choose","68","864834","0.0-68.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"16717","/tickets/utils/start2.html","html","69","883302","0.0-69.0","","","","","","","","","","","","",""
"","","number-animation","70","893556","0.0-70.0","","","","","","","","","","","","",""
"","","training_avg","71","915814","0.0-71.0","","","","1","0","184","170","","","","","",""
"","","number-animation","72","926279","0.0-72.0","","","","","","","","","","","","",""
"","","training_avg","73","937719","0.0-73.0","","","","1","1","199","190","","","","","",""
"","","number-animation","74","946630","0.0-74.0","","","","","","","","","","","","",""
"","","training_avg","75","958019","0.0-75.0","","","","1","2","199","195","","","","","",""
"","","number-animation","76","967789","0.0-76.0","","","","","","","","","","","","",""
"","","training_avg","77","978756","0.0-77.0","","","","1","3","210","196","","","","","",""
"","","number-animation","78","987314","0.0-78.0","","","","","","","","","","","","",""
"","","training_avg","79","1001008","0.0-79.0","","","","1","4","202","192","","","","","",""
"","","bar-choose","80","1037096","0.0-80.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"9482","/tickets/utils/testing2.html","html","81","1048089","0.0-81.0","","","","","","","","","","","","",""
"","","ticket-choose","82","1059264","0.0-82.0","","","","1","0","","","","","155","3","0",""
"","","ticket-choose","83","1063100","0.0-83.0","","","","1","1","","","","","160","3","0",""
"","","ticket-choose","84","1071709","0.0-84.0","","","","1","2","","","","","163","2","1",""
"","","ticket-choose","85","1077726","0.0-85.0","","","","1","3","","","","","148","2","1",""
"","","ticket-choose","86","1082465","0.0-86.0","","","","1","4","","","","","141","3","0",""
"","","ticket-choose","87","1088115","0.0-87.0","","","","1","5","","","","","159","1","3",""
"","","ticket-choose","88","1103338","0.0-88.0","","","","1","6","","","","","147","2","1",""
"","","ticket-choose","89","1108029","0.0-89.0","","","","1","7","","","","","143","3","0",""
"","","ticket-choose","90","1114484","0.0-90.0","","","","1","8","","","","","131","3","0",""
"","","ticket-choose","91","1123755","0.0-91.0","","","","1","9","","","","","149","2","1",""
"","","ticket-choose","92","1132719","0.0-92.0","","","","1","10","","","","","134","2","1",""
"","","ticket-choose","93","1141686","0.0-93.0","","","","1","11","","","","","185","1","2",""
"","","ticket-choose","94","1147000","0.0-94.0","","","","1","12","","","","","155","3","0",""
"","","ticket-choose","95","1153619","0.0-95.0","","","","1","13","","","","","151","2","1",""
"","","ticket-choose","96","1157937","0.0-96.0","","","","1","14","","","","","150","2","1",""
"","","ticket-choose","97","1162918","0.0-97.0","","","","1","15","","","","","161","3","0",""
"","","ticket-choose","98","1171215","0.0-98.0","","","","1","16","","","","","178","2","1",""
"","","ticket-choose","99","1180653","0.0-99.0","","","","1","17","","","","","171","2","1",""
"","","ticket-choose","100","1189844","0.0-100.0","","","","1","18","","","","","169","2","1",""
"","","ticket-choose","101","1203839","0.0-101.0","","","","1","19","","","","","138","3","0",""
"","","ticket-choose","102","1212477","0.0-102.0","","","","1","20","","","","","136","3","0",""
"","","ticket-choose","103","1219976","0.0-103.0","","","","1","21","","","","","132","2","1",""
"","","ticket-choose","104","1231803","0.0-104.0","","","","1","22","","","","","216","1","4",""
"","","ticket-choose","105","1239395","0.0-105.0","","","","1","23","","","","","127","3","0",""
"","","ticket-choose","106","1242977","0.0-106.0","","","","1","24","","","","","121","3","0",""
"","","ticket-choose","107","1257061","0.0-107.0","","","","1","25","","","","","166","1","2",""
"","","ticket-choose","108","1269065","0.0-108.0","","","","1","26","","","","","150","3","0",""
"","","ticket-choose","109","1280757","0.0-109.0","","","","1","27","","","","","170","3","0",""
"","","ticket-choose","110","1291459","0.0-110.0","","","","1","28","","","","","111","3","0",""
"","","ticket-choose","111","1297867","0.0-111.0","","","","1","29","","","","","156","2","1",""
"","","ticket-choose","112","1304783","0.0-112.0","","","","1","30","","","","","135","3","0",""
"","","ticket-choose","113","1308207","0.0-113.0","","","","1","31","","","","","115","3","0",""
"","","ticket-choose","114","1318038","0.0-114.0","","","","1","32","","","","","117","2","1",""
"","","ticket-choose","115","1323868","0.0-115.0","","","","1","33","","","","","138","2","1",""
"","","ticket-choose","116","1335227","0.0-116.0","","","","1","34","","","","","182","1","3",""
"","","ticket-choose","117","1340086","0.0-117.0","","","","1","35","","","","","150","3","0",""
"","","ticket-choose","118","1350068","0.0-118.0","","","","1","36","","","","","141","2","1",""
"","","ticket-choose","119","1361719","0.0-119.0","","","","1","37","","","","","170","3","0",""
"","","ticket-choose","120","1365051","0.0-120.0","","","","1","38","","","","","165","1","2",""
"","","ticket-choose","121","1368417","0.0-121.0","","","","1","39","","","","","152","3","0",""
"","","ticket-choose","122","1377091","0.0-122.0","","","","1","40","","","","","175","1","2",""
"","","ticket-choose","123","1386206","0.0-123.0","","","","1","41","","","","","190","1","2",""
"","","ticket-choose","124","1391361","0.0-124.0","","","","1","42","","","","","188","1","3",""
"","","ticket-choose","125","1396800","0.0-125.0","","","","1","43","","","","","170","2","1",""
"","","ticket-choose","126","1408773","0.0-126.0","","","","1","44","","","","","166","3","0",""
"","","ticket-choose","127","1412157","0.0-127.0","","","","1","45","","","","","126","3","0",""
"","","ticket-choose","128","1419647","0.0-128.0","","","","1","46","","","","","166","1","2",""
"","","ticket-choose","129","1430807","0.0-129.0","","","","1","47","","","","","160","3","0",""
"","","ticket-choose","130","1434926","0.0-130.0","","","","1","48","","","","","159","3","0",""
"","","ticket-choose","131","1441514","0.0-131.0","","","","1","49","","","","","136","3","0",""
"","","bar-choose","132","1475093","0.0-132.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"","","final","133","1507089","0.0-133.0","","","","","","","","","","","","","Nothing"
