"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"5753","/tickets/utils/consent.html","html","0","6009","0.0-0.0","","","","","","","","","","","","",""
"","","age","1","15023","0.0-1.0","35","m","","","","","","","","","","",""
"","","instructions_check","2","47523","0.0-2.0","","","1","","","","","","","","","",""
"13968","/tickets/utils/start.html","html","3","62822","0.0-3.0","","","","","","","","","","","","",""
"","","number-animation","4","77475","0.0-4.0","","","","","","","","","","","","",""
"","","training_avg","5","93311","0.0-5.0","","","","0","0","181","182","","","","","",""
"","","number-animation","6","115959","0.0-6.0","","","","","","","","","","","","",""
"","","training_avg","7","131212","0.0-7.0","","","","0","1","188","192","","","","","",""
"","","number-animation","8","143829","0.0-8.0","","","","","","","","","","","","",""
"","","training_avg","9","155621","0.0-9.0","","","","0","2","188","190","","","","","",""
"","","number-animation","10","168397","0.0-10.0","","","","","","","","","","","","",""
"","","training_avg","11","178135","0.0-11.0","","","","0","3","177","180","","","","","",""
"","","number-animation","12","192480","0.0-12.0","","","","","","","","","","","","",""
"","","training_avg","13","200487","0.0-13.0","","","","0","4","182","175","","","","","",""
"","","bar-choose","14","287632","0.0-14.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"17464","/tickets//utils/testing.html","html","15","306808","0.0-15.0","","","","","","","","","","","","",""
"","","ticket-choose","16","319000","0.0-16.0","","","","0","-1","","","","","165","2","1",""
"30544","/tickets/utils/testing_after.html","html","17","350934","0.0-17.0","","","","","","","","","","","","",""
"","","ticket-choose","18","370161","0.0-18.0","","","","0","0","","","","","155","2","1",""
"","","ticket-choose","19","387400","0.0-19.0","","","","0","1","","","","","147","2","1",""
"","","ticket-choose","20","397334","0.0-20.0","","","","0","2","","","","","155","3","0",""
"","","ticket-choose","21","414343","0.0-21.0","","","","0","3","","","","","170","1","4",""
"","","ticket-choose","22","424827","0.0-22.0","","","","0","4","","","","","160","2","1",""
"","","ticket-choose","23","430537","0.0-23.0","","","","0","5","","","","","148","3","0",""
"","","ticket-choose","24","441651","0.0-24.0","","","","0","6","","","","","163","1","2",""
"","","ticket-choose","25","451660","0.0-25.0","","","","0","7","","","","","166","1","3",""
"","","ticket-choose","26","460583","0.0-26.0","","","","0","8","","","","","143","3","0",""
"","","ticket-choose","27","475216","0.0-27.0","","","","0","9","","","","","170","1","2",""
"","","ticket-choose","28","489239","0.0-28.0","","","","0","10","","","","","152","2","1",""
"","","ticket-choose","29","502682","0.0-29.0","","","","0","11","","","","","149","3","0",""
"","","ticket-choose","30","508522","0.0-30.0","","","","0","12","","","","","140","3","0",""
