"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"205851","/tickets/utils/consent.html","html","0","206027","0.0-0.0","","","","","","","","","","","","",""
"","","age","1","216262","0.0-1.0","41","f","","","","","","","","","","",""
"","","instructions_check","2","318581","0.0-2.0","","","2","","","","","","","","","",""
"142141","/tickets/utils/start.html","html","3","462223","0.0-3.0","","","","","","","","","","","","",""
"","","number-animation","4","579802","0.0-4.0","","","","","","","","","","","","",""
"","","training_avg","5","635646","0.0-5.0","","","","0","0","184","173","","","","","",""
"","","number-animation","6","737348","0.0-6.0","","","","","","","","","","","","",""
"","","training_avg","7","762046","0.0-7.0","","","","0","1","199","194","","","","","",""
"","","number-animation","8","854881","0.0-8.0","","","","","","","","","","","","",""
"","","training_avg","9","879165","0.0-9.0","","","","0","2","199","196","","","","","",""
"","","number-animation","10","907710","0.0-10.0","","","","","","","","","","","","",""
"","","training_avg","11","923399","0.0-11.0","","","","0","3","210","205","","","","","",""
"","","number-animation","12","954773","0.0-12.0","","","","","","","","","","","","",""
"","","training_avg","13","973760","0.0-13.0","","","","0","4","202","208","","","","","",""
"","","bar-choose","14","1120240","0.0-14.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"35201","/tickets//utils/testing.html","html","15","1156772","0.0-15.0","","","","","","","","","","","","",""
"","","ticket-choose","16","1179254","0.0-16.0","","","","0","-1","","","","","126","3","0",""
"26595","/tickets/utils/testing_after.html","html","17","1207176","0.0-17.0","","","","","","","","","","","","",""
"","","ticket-choose","18","1226864","0.0-18.0","","","","0","0","","","","","168","2","1",""
"","","ticket-choose","19","1240004","0.0-19.0","","","","0","1","","","","","117","2","1",""
"","","ticket-choose","20","1250645","0.0-20.0","","","","0","2","","","","","127","3","0",""
"","","ticket-choose","21","1269661","0.0-21.0","","","","0","3","","","","","134","2","1",""
"","","ticket-choose","22","1282020","0.0-22.0","","","","0","4","","","","","136","3","0",""
"","","ticket-choose","23","1299131","0.0-23.0","","","","0","5","","","","","180","1","2",""
"","","ticket-choose","24","1315599","0.0-24.0","","","","0","6","","","","","182","1","3",""
"","","ticket-choose","25","1324052","0.0-25.0","","","","0","7","","","","","137","3","0",""
"","","ticket-choose","26","1338974","0.0-26.0","","","","0","8","","","","","160","2","1",""
"","","ticket-choose","27","1346803","0.0-27.0","","","","0","9","","","","","141","3","0",""
"","","ticket-choose","28","1356427","0.0-28.0","","","","0","10","","","","","159","1","2",""
"","","ticket-choose","29","1367287","0.0-29.0","","","","0","11","","","","","152","1","2",""
"","","ticket-choose","30","1384147","0.0-30.0","","","","0","12","","","","","157","3","0",""
"","","ticket-choose","31","1405100","0.0-31.0","","","","0","13","","","","","216","1","4",""
"","","ticket-choose","32","1425178","0.0-32.0","","","","0","14","","","","","179","1","2",""
"","","ticket-choose","33","1443834","0.0-33.0","","","","0","15","","","","","170","3","0",""
"","","ticket-choose","34","1450460","0.0-34.0","","","","0","16","","","","","131","3","0",""
"","","ticket-choose","35","1467991","0.0-35.0","","","","0","17","","","","","116","3","0",""
"","","ticket-choose","36","1473382","0.0-36.0","","","","0","18","","","","","152","3","0",""
"","","ticket-choose","37","1480289","0.0-37.0","","","","0","19","","","","","150","3","0",""
"","","ticket-choose","38","1500882","0.0-38.0","","","","0","20","","","","","160","3","0",""
"","","ticket-choose","39","1506210","0.0-39.0","","","","0","21","","","","","126","3","0",""
"","","ticket-choose","40","1520460","0.0-40.0","","","","0","22","","","","","166","1","2",""
"","","ticket-choose","41","1538727","0.0-41.0","","","","0","23","","","","","170","3","0",""
"","","ticket-choose","42","1556306","0.0-42.0","","","","0","24","","","","","168","1","2",""
"","","ticket-choose","43","1560649","0.0-43.0","","","","0","25","","","","","136","3","0",""
"","","ticket-choose","44","1581673","0.0-44.0","","","","0","26","","","","","193","1","4",""
"","","ticket-choose","45","1588283","0.0-45.0","","","","0","27","","","","","159","3","0",""
"","","ticket-choose","46","1602643","0.0-46.0","","","","0","28","","","","","190","1","2",""
"","","ticket-choose","47","1617658","0.0-47.0","","","","0","29","","","","","167","1","2",""
"","","ticket-choose","48","1622080","0.0-48.0","","","","0","30","","","","","121","3","0",""
"","","ticket-choose","49","1628941","0.0-49.0","","","","0","31","","","","","148","2","1",""
"","","ticket-choose","50","1642456","0.0-50.0","","","","0","32","","","","","185","1","2",""
"","","ticket-choose","51","1655236","0.0-51.0","","","","0","33","","","","","145","2","1",""
"","","ticket-choose","52","1672440","0.0-52.0","","","","0","34","","","","","208","1","4",""
"","","ticket-choose","53","1692800","0.0-53.0","","","","0","35","","","","","138","3","0",""
"","","ticket-choose","54","1701362","0.0-54.0","","","","0","36","","","","","163","2","1",""
"","","ticket-choose","55","1705643","0.0-55.0","","","","0","37","","","","","143","3","0",""
"","","ticket-choose","56","1714955","0.0-56.0","","","","0","38","","","","","167","1","3",""
"","","ticket-choose","57","1730739","0.0-57.0","","","","0","39","","","","","166","3","0",""
"","","ticket-choose","58","1746691","0.0-58.0","","","","0","40","","","","","166","3","0",""
"","","ticket-choose","59","1753816","0.0-59.0","","","","0","41","","","","","152","1","3",""
"","","ticket-choose","60","1766972","0.0-60.0","","","","0","42","","","","","141","2","1",""
"","","ticket-choose","61","1772160","0.0-61.0","","","","0","43","","","","","115","3","0",""
"","","ticket-choose","62","1782800","0.0-62.0","","","","0","44","","","","","170","0","5",""
"","","ticket-choose","63","1791801","0.0-63.0","","","","0","45","","","","","135","3","0",""
"","","ticket-choose","64","1799128","0.0-64.0","","","","0","46","","","","","132","2","1",""
"","","ticket-choose","65","1816629","0.0-65.0","","","","0","47","","","","","221","0","7",""
"","","ticket-choose","66","1828582","0.0-66.0","","","","0","48","","","","","160","2","1",""
"","","ticket-choose","67","1836223","0.0-67.0","","","","0","49","","","","","164","2","1",""
"","","bar-choose","68","1922648","0.0-68.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"17986","/tickets/utils/start2.html","html","69","1941970","0.0-69.0","","","","","","","","","","","","",""
"","","number-animation","70","1965296","0.0-70.0","","","","","","","","","","","","",""
"","","training_avg","71","1976845","0.0-71.0","","","","1","0","181","177","","","","","",""
"","","number-animation","72","2007573","0.0-72.0","","","","","","","","","","","","",""
"","","training_avg","73","2019409","0.0-73.0","","","","1","1","188","179","","","","","",""
"","","number-animation","74","2047906","0.0-74.0","","","","","","","","","","","","",""
"","","training_avg","75","2059908","0.0-75.0","","","","1","2","188","183","","","","","",""
"","","number-animation","76","2080486","0.0-76.0","","","","","","","","","","","","",""
"","","training_avg","77","2094753","0.0-77.0","","","","1","3","177","173","","","","","",""
"","","number-animation","78","2113532","0.0-78.0","","","","","","","","","","","","",""
"","","training_avg","79","2126284","0.0-79.0","","","","1","4","182","182","","","","","",""
"","","bar-choose","80","2191629","0.0-80.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"6639","/tickets/utils/testing2.html","html","81","2199597","0.0-81.0","","","","","","","","","","","","",""
"","","ticket-choose","82","2212503","0.0-82.0","","","","1","0","","","","","160","2","1",""
"","","ticket-choose","83","2220331","0.0-83.0","","","","1","1","","","","","167","2","1",""
"","","ticket-choose","84","2226471","0.0-84.0","","","","1","2","","","","","159","1","2",""
"","","ticket-choose","85","2240128","0.0-85.0","","","","1","3","","","","","164","1","2",""
"","","ticket-choose","86","2247330","0.0-86.0","","","","1","4","","","","","169","1","4",""
"","","ticket-choose","87","2255237","0.0-87.0","","","","1","5","","","","","159","1","3",""
"","","ticket-choose","88","2270691","0.0-88.0","","","","1","6","","","","","188","1","4",""
"","","ticket-choose","89","2285566","0.0-89.0","","","","1","7","","","","","163","3","0",""
"","","ticket-choose","90","2297784","0.0-90.0","","","","1","8","","","","","150","2","1",""
"","","ticket-choose","91","2304379","0.0-91.0","","","","1","9","","","","","154","2","1",""
"","","ticket-choose","92","2316128","0.0-92.0","","","","1","10","","","","","164","2","1",""
"","","ticket-choose","93","2329535","0.0-93.0","","","","1","11","","","","","175","1","2",""
"","","ticket-choose","94","2341566","0.0-94.0","","","","1","12","","","","","163","1","2",""
"","","ticket-choose","95","2356301","0.0-95.0","","","","1","13","","","","","155","3","0",""
"","","ticket-choose","96","2363942","0.0-96.0","","","","1","14","","","","","156","1","3",""
