"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"2694","/tickets/utils/consent.html","html","0","2704","0.0-0.0","","","","","","","","","","","","",""
"","","age","1","9634","0.0-1.0","38","f","","","","","","","","","","",""
"","","instructions_check","2","13724","0.0-2.0","","","1","","","","","","","","","",""
"1261","/tickets/utils/start.html","html","3","15989","0.0-3.0","","","","","","","","","","","","",""
"","","number-animation","4","23141","0.0-4.0","","","","","","","","","","","","",""
"","","training_avg","5","28058","0.0-5.0","","","","0","0","181","177","","","","","",""
"","","number-animation","6","34756","0.0-6.0","","","","","","","","","","","","",""
"","","training_avg","7","39512","0.0-7.0","","","","0","1","188","187","","","","","",""
"","","number-animation","8","45852","0.0-8.0","","","","","","","","","","","","",""
"","","training_avg","9","50574","0.0-9.0","","","","0","2","188","178","","","","","",""
"","","number-animation","10","56435","0.0-10.0","","","","","","","","","","","","",""
"","","training_avg","11","61407","0.0-11.0","","","","0","3","177","171","","","","","",""
"","","number-animation","12","68411","0.0-12.0","","","","","","","","","","","","",""
"","","training_avg","13","73074","0.0-13.0","","","","0","4","182","183","","","","","",""
"","","bar-choose","14","81321","0.0-14.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"3970","/tickets//utils/testing.html","html","15","86442","0.0-15.0","","","","","","","","","","","","",""
"","","ticket-choose","16","92860","0.0-16.0","","","","0","-1","","","","","199","0","7",""
"2348","/tickets/utils/testing_after.html","html","17","96392","0.0-17.0","","","","","","","","","","","","",""
"","","ticket-choose","18","107050","0.0-18.0","","","","0","0","","","","","147","3","0",""
"","","ticket-choose","19","115135","0.0-19.0","","","","0","1","","","","","152","3","0",""
"","","ticket-choose","20","124253","0.0-20.0","","","","0","2","","","","","185","1","4",""
"","","ticket-choose","21","129192","0.0-21.0","","","","0","3","","","","","161","1","2",""
"","","ticket-choose","22","138348","0.0-22.0","","","","0","4","","","","","155","3","0",""
"","","ticket-choose","23","146319","0.0-23.0","","","","0","5","","","","","163","3","0",""
"","","ticket-choose","24","156158","0.0-24.0","","","","0","6","","","","","158","3","0",""
"","","ticket-choose","25","160840","0.0-25.0","","","","0","7","","","","","155","2","1",""
"","","ticket-choose","26","165048","0.0-26.0","","","","0","8","","","","","158","2","1",""
"","","ticket-choose","27","172765","0.0-27.0","","","","0","9","","","","","209","0","8",""
"","","ticket-choose","28","182239","0.0-28.0","","","","0","10","","","","","171","1","3",""
"","","ticket-choose","29","185312","0.0-29.0","","","","0","11","","","","","162","1","2",""
"","","ticket-choose","30","188256","0.0-30.0","","","","0","12","","","","","161","3","0",""
"","","ticket-choose","31","197137","0.0-31.0","","","","0","13","","","","","200","0","5",""
"","","ticket-choose","32","200603","0.0-32.0","","","","0","14","","","","","150","3","0",""
"","","ticket-choose","33","208249","0.0-33.0","","","","0","15","","","","","162","2","1",""
"","","ticket-choose","34","210765","0.0-34.0","","","","0","16","","","","","157","3","0",""
"","","ticket-choose","35","218384","0.0-35.0","","","","0","17","","","","","150","3","0",""
"","","ticket-choose","36","221092","0.0-36.0","","","","0","18","","","","","168","3","0",""
"","","ticket-choose","37","229156","0.0-37.0","","","","0","19","","","","","171","1","2",""
"","","ticket-choose","38","234978","0.0-38.0","","","","0","20","","","","","152","3","0",""
"","","ticket-choose","39","240312","0.0-39.0","","","","0","21","","","","","143","3","0",""
"","","ticket-choose","40","242810","0.0-40.0","","","","0","22","","","","","148","3","0",""
"","","ticket-choose","41","250024","0.0-41.0","","","","0","23","","","","","164","3","0",""
"","","ticket-choose","42","254046","0.0-42.0","","","","0","24","","","","","161","3","0",""
"","","ticket-choose","43","266025","0.0-43.0","","","","0","25","","","","","164","2","1",""
"","","ticket-choose","44","268531","0.0-44.0","","","","0","26","","","","","159","3","0",""
"","","ticket-choose","45","273150","0.0-45.0","","","","0","27","","","","","161","1","3",""
"","","ticket-choose","46","279199","0.0-46.0","","","","0","28","","","","","162","2","1",""
"","","ticket-choose","47","286417","0.0-47.0","","","","0","29","","","","","175","1","2",""
"","","ticket-choose","48","289621","0.0-48.0","","","","0","30","","","","","159","1","2",""
"","","ticket-choose","49","297067","0.0-49.0","","","","0","31","","","","","166","2","1",""
"","","ticket-choose","50","304003","0.0-50.0","","","","0","32","","","","","144","3","0",""
"","","ticket-choose","51","312648","0.0-51.0","","","","0","33","","","","","155","3","0",""
"","","ticket-choose","52","319131","0.0-52.0","","","","0","34","","","","","152","1","2",""
"","","ticket-choose","53","327965","0.0-53.0","","","","0","35","","","","","153","3","0",""
"","","ticket-choose","54","332460","0.0-54.0","","","","0","36","","","","","147","3","0",""
"","","ticket-choose","55","336374","0.0-55.0","","","","0","37","","","","","154","2","1",""
"","","ticket-choose","56","343055","0.0-56.0","","","","0","38","","","","","150","2","1",""
"","","ticket-choose","57","350068","0.0-57.0","","","","0","39","","","","","155","1","2",""
"","","ticket-choose","58","357339","0.0-58.0","","","","0","40","","","","","163","3","0",""
"","","ticket-choose","59","361559","0.0-59.0","","","","0","41","","","","","150","2","1",""
"","","ticket-choose","60","368171","0.0-60.0","","","","0","42","","","","","165","1","2",""
"","","ticket-choose","61","375331","0.0-61.0","","","","0","43","","","","","154","3","0",""
"","","ticket-choose","62","380911","0.0-62.0","","","","0","44","","","","","148","3","0",""
"","","ticket-choose","63","384189","0.0-63.0","","","","0","45","","","","","177","1","4",""
"","","ticket-choose","64","392110","0.0-64.0","","","","0","46","","","","","170","1","2",""
"","","ticket-choose","65","394726","0.0-65.0","","","","0","47","","","","","152","3","0",""
"","","ticket-choose","66","403528","0.0-66.0","","","","0","48","","","","","148","3","0",""
"","","ticket-choose","67","406175","0.0-67.0","","","","0","49","","","","","156","3","0",""
"","","bar-choose","68","415435","0.0-68.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"21411","/tickets/utils/start2.html","html","69","438040","0.0-69.0","","","","","","","","","","","","",""
"","","number-animation","70","445070","0.0-70.0","","","","","","","","","","","","",""
"","","training_avg","71","451476","0.0-71.0","","","","1","0","184","213","","","","","",""
"","","number-animation","72","459330","0.0-72.0","","","","","","","","","","","","",""
"","","training_avg","73","464194","0.0-73.0","","","","1","1","199","195","","","","","",""
"","","number-animation","74","471042","0.0-74.0","","","","","","","","","","","","",""
"","","training_avg","75","476078","0.0-75.0","","","","1","2","199","193","","","","","",""
"","","number-animation","76","483289","0.0-76.0","","","","","","","","","","","","",""
"","","training_avg","77","487903","0.0-77.0","","","","1","3","210","191","","","","","",""
"","","number-animation","78","495465","0.0-78.0","","","","","","","","","","","","",""
"","","training_avg","79","500325","0.0-79.0","","","","1","4","202","188","","","","","",""
"","","bar-choose","80","505279","0.0-80.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"3620","/tickets/utils/testing2.html","html","81","510090","0.0-81.0","","","","","","","","","","","","",""
"","","ticket-choose","82","522408","0.0-82.0","","","","1","0","","","","","173","2","1",""
"","","ticket-choose","83","533745","0.0-83.0","","","","1","1","","","","","217","1","4",""
"","","ticket-choose","84","541061","0.0-84.0","","","","1","2","","","","","140","2","1",""
"","","ticket-choose","85","547883","0.0-85.0","","","","1","3","","","","","126","3","0",""
"","","ticket-choose","86","559497","0.0-86.0","","","","1","4","","","","","180","1","4",""
"","","ticket-choose","87","562500","0.0-87.0","","","","1","5","","","","","154","3","0",""
"","","ticket-choose","88","567872","0.0-88.0","","","","1","6","","","","","135","3","0",""
"","","ticket-choose","89","578124","0.0-89.0","","","","1","7","","","","","142","3","0",""
"","","ticket-choose","90","582724","0.0-90.0","","","","1","8","","","","","149","2","1",""
"","","ticket-choose","91","594166","0.0-91.0","","","","1","9","","","","","147","3","0",""
"","","ticket-choose","92","604191","0.0-92.0","","","","1","10","","","","","145","3","0",""
"","","ticket-choose","93","608623","0.0-93.0","","","","1","11","","","","","155","3","0",""
"","","ticket-choose","94","612883","0.0-94.0","","","","1","12","","","","","157","2","1",""
"","","ticket-choose","95","620301","0.0-95.0","","","","1","13","","","","","136","3","0",""
"","","ticket-choose","96","631799","0.0-96.0","","","","1","14","","","","","212","1","4",""
"","","ticket-choose","97","642265","0.0-97.0","","","","1","15","","","","","277","0","8",""
"","","ticket-choose","98","652516","0.0-98.0","","","","1","16","","","","","259","0","8",""
"","","ticket-choose","99","655964","0.0-99.0","","","","1","17","","","","","169","1","4",""
"","","ticket-choose","100","660690","0.0-100.0","","","","1","18","","","","","151","2","1",""
"","","ticket-choose","101","672518","0.0-101.0","","","","1","19","","","","","210","1","4",""
"","","ticket-choose","102","678524","0.0-102.0","","","","1","20","","","","","151","3","0",""
"","","ticket-choose","103","681342","0.0-103.0","","","","1","21","","","","","137","3","0",""
"","","ticket-choose","104","686048","0.0-104.0","","","","1","22","","","","","137","3","0",""
"","","ticket-choose","105","695566","0.0-105.0","","","","1","23","","","","","130","3","0",""
"","","ticket-choose","106","706901","0.0-106.0","","","","1","24","","","","","156","3","0",""
"","","ticket-choose","107","718925","0.0-107.0","","","","1","25","","","","","150","3","0",""
"","","ticket-choose","108","723725","0.0-108.0","","","","1","26","","","","","133","3","0",""
"","","ticket-choose","109","736522","0.0-109.0","","","","1","27","","","","","156","2","1",""
"","","ticket-choose","110","748357","0.0-110.0","","","","1","28","","","","","144","3","0",""
"","","ticket-choose","111","759100","0.0-111.0","","","","1","29","","","","","180","1","2",""
"","","ticket-choose","112","767718","0.0-112.0","","","","1","30","","","","","156","3","0",""
"","","ticket-choose","113","779278","0.0-113.0","","","","1","31","","","","","150","3","0",""
"","","ticket-choose","114","789445","0.0-114.0","","","","1","32","","","","","134","3","0",""
"","","ticket-choose","115","791923","0.0-115.0","","","","1","33","","","","","141","3","0",""
"","","ticket-choose","116","800025","0.0-116.0","","","","1","34","","","","","148","3","0",""
"","","ticket-choose","117","809136","0.0-117.0","","","","1","35","","","","","139","3","0",""
"","","ticket-choose","118","818312","0.0-118.0","","","","1","36","","","","","148","3","0",""
"","","ticket-choose","119","825964","0.0-119.0","","","","1","37","","","","","148","2","1",""
"","","ticket-choose","120","836792","0.0-120.0","","","","1","38","","","","","183","1","3",""
"","","ticket-choose","121","839526","0.0-121.0","","","","1","39","","","","","145","3","0",""
"","","ticket-choose","122","848728","0.0-122.0","","","","1","40","","","","","126","3","0",""
"","","ticket-choose","123","853129","0.0-123.0","","","","1","41","","","","","148","2","1",""
"","","ticket-choose","124","856106","0.0-124.0","","","","1","42","","","","","153","3","0",""
"","","ticket-choose","125","860172","0.0-125.0","","","","1","43","","","","","138","2","1",""
"","","ticket-choose","126","866656","0.0-126.0","","","","1","44","","","","","116","3","0",""
"","","ticket-choose","127","869879","0.0-127.0","","","","1","45","","","","","165","1","2",""
"","","ticket-choose","128","880559","0.0-128.0","","","","1","46","","","","","170","3","0",""
"","","ticket-choose","129","891981","0.0-129.0","","","","1","47","","","","","136","3","0",""
"","","ticket-choose","130","900602","0.0-130.0","","","","1","48","","","","","182","2","1",""
"","","ticket-choose","131","905837","0.0-131.0","","","","1","49","","","","","144","3","0",""
"","","bar-choose","132","915207","0.0-132.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"","","final","133","933126","0.0-133.0","","","","","","","","","","","","","Nothing"
