"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"115768","/tickets/utils/consent.html","html","0","115777","0.0-0.0","","","","","","","","","","","","",""
"","","age","1","119788","0.0-1.0","44","m","","","","","","","","","","",""
"","","instructions_check","2","201274","0.0-2.0","","","1","","","","","","","","","",""
"300668","/tickets/utils/start.html","html","3","502952","0.0-3.0","","","","","","","","","","","","",""
"","","number-animation","4","517833","0.0-4.0","","","","","","","","","","","","",""
"","","training_avg","5","527876","0.0-5.0","","","","0","0","184","174","","","","","",""
"","","number-animation","6","536889","0.0-6.0","","","","","","","","","","","","",""
"","","training_avg","7","541728","0.0-7.0","","","","0","1","199","175","","","","","",""
"","","number-animation","8","550184","0.0-8.0","","","","","","","","","","","","",""
"","","training_avg","9","555140","0.0-9.0","","","","0","2","199","175","","","","","",""
"","","number-animation","10","563112","0.0-10.0","","","","","","","","","","","","",""
"","","training_avg","11","567636","0.0-11.0","","","","0","3","210","175","","","","","",""
"","","number-animation","12","575106","0.0-12.0","","","","","","","","","","","","",""
"","","training_avg","13","580649","0.0-13.0","","","","0","4","202","186","","","","","",""
"","","bar-choose","14","606826","0.0-14.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"749608","/tickets//utils/testing.html","html","15","1357444","0.0-15.0","","","","","","","","","","","","",""
"","","ticket-choose","16","1366926","0.0-16.0","","","","0","-1","","","","","199","0","7",""
"550976","/tickets/utils/testing_after.html","html","17","1918912","0.0-17.0","","","","","","","","","","","","",""
"","","ticket-choose","18","1935187","0.0-18.0","","","","0","0","","","","","157","3","0",""
"","","ticket-choose","19","1943109","0.0-19.0","","","","0","1","","","","","254","0","8",""
"","","ticket-choose","20","1950741","0.0-20.0","","","","0","2","","","","","239","0","9",""
"","","ticket-choose","21","1958179","0.0-21.0","","","","0","3","","","","","229","0","6",""
"","","ticket-choose","22","1965535","0.0-22.0","","","","0","4","","","","","168","2","1",""
"","","ticket-choose","23","1969663","0.0-23.0","","","","0","5","","","","","143","3","0",""
"","","ticket-choose","24","1980788","0.0-24.0","","","","0","6","","","","","179","1","2",""
"","","ticket-choose","25","1995904","0.0-25.0","","","","0","7","","","","","149","3","0",""
"","","ticket-choose","26","2000680","0.0-26.0","","","","0","8","","","","","163","3","0",""
"","","ticket-choose","27","2003318","0.0-27.0","","","","0","9","","","","","136","3","0",""
"","","ticket-choose","28","2006376","0.0-28.0","","","","0","10","","","","","159","3","0",""
"","","ticket-choose","29","2024145","0.0-29.0","","","","0","11","","","","","208","1","4",""
"","","ticket-choose","30","2035671","0.0-30.0","","","","0","12","","","","","170","3","0",""
"","","ticket-choose","31","2039325","0.0-31.0","","","","0","13","","","","","121","3","0",""
"","","ticket-choose","32","2044327","0.0-32.0","","","","0","14","","","","","164","2","1",""
"","","ticket-choose","33","2048991","0.0-33.0","","","","0","15","","","","","132","2","1",""
"","","ticket-choose","34","2052261","0.0-34.0","","","","0","16","","","","","115","3","0",""
"","","ticket-choose","35","2056058","0.0-35.0","","","","0","17","","","","","187","1","2",""
"","","ticket-choose","36","2063512","0.0-36.0","","","","0","18","","","","","160","2","1",""
"","","ticket-choose","37","2070362","0.0-37.0","","","","0","19","","","","","126","3","0",""
"","","ticket-choose","38","2074320","0.0-38.0","","","","0","20","","","","","167","1","2",""
"","","ticket-choose","39","2082280","0.0-39.0","","","","0","21","","","","","165","2","1",""
"","","ticket-choose","40","2089902","0.0-40.0","","","","0","22","","","","","134","2","1",""
"","","ticket-choose","41","2096274","0.0-41.0","","","","0","23","","","","","117","2","1",""
"","","ticket-choose","42","2101468","0.0-42.0","","","","0","24","","","","","204","0","6",""
"","","ticket-choose","43","2105859","0.0-43.0","","","","0","25","","","","","280","0","9",""
"","","ticket-choose","44","2112375","0.0-44.0","","","","0","26","","","","","191","1","2",""
"","","ticket-choose","45","2115955","0.0-45.0","","","","0","27","","","","","152","3","0",""
"","","ticket-choose","46","2123135","0.0-46.0","","","","0","28","","","","","168","1","2",""
"","","ticket-choose","47","2132105","0.0-47.0","","","","0","29","","","","","169","2","1",""
"","","ticket-choose","48","2144281","0.0-48.0","","","","0","30","","","","","156","1","3",""
"","","ticket-choose","49","2152392","0.0-49.0","","","","0","31","","","","","145","2","1",""
"","","ticket-choose","50","2156576","0.0-50.0","","","","0","32","","","","","138","2","1",""
"","","ticket-choose","51","2164874","0.0-51.0","","","","0","33","","","","","171","2","1",""
"","","ticket-choose","52","2172580","0.0-52.0","","","","0","34","","","","","131","3","0",""
"","","ticket-choose","53","2181077","0.0-53.0","","","","0","35","","","","","160","2","1",""
