"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"","","ticket-choose","54","2189167","0.0-54.0","","","","0","36","","","","","182","2","1",""
"","","ticket-choose","55","2192113","0.0-55.0","","","","0","37","","","","","177","1","2",""
"","","ticket-choose","56","2199363","0.0-56.0","","","","0","38","","","","","166","1","2",""
"","","ticket-choose","57","2202321","0.0-57.0","","","","0","39","","","","","155","3","0",""
"","","ticket-choose","58","2212835","0.0-58.0","","","","0","40","","","","","160","3","0",""
"","","ticket-choose","59","2218864","0.0-59.0","","","","0","41","","","","","159","1","3",""
"","","ticket-choose","60","2224959","0.0-60.0","","","","0","42","","","","","177","1","2",""
"","","ticket-choose","61","2229982","0.0-61.0","","","","0","43","","","","","156","2","1",""
"","","ticket-choose","62","2239984","0.0-62.0","","","","0","44","","","","","141","2","1",""
"","","ticket-choose","63","2244979","0.0-63.0","","","","0","45","","","","","152","1","3",""
"","","ticket-choose","64","2249660","0.0-64.0","","","","0","46","","","","","167","1","3",""
"","","ticket-choose","65","2254894","0.0-65.0","","","","0","47","","","","","155","3","0",""
"","","ticket-choose","66","2259606","0.0-66.0","","","","0","48","","","","","163","2","1",""
"","","ticket-choose","67","2267782","0.0-67.0","","","","0","49","","","","","223","1","4",""
"","","bar-choose","68","2849495","0.0-68.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"1377873","/tickets/utils/start2.html","html","69","4228381","0.0-69.0","","","","","","","","","","","","",""
"","","number-animation","70","4237389","0.0-70.0","","","","","","","","","","","","",""
"","","training_avg","71","4243955","0.0-71.0","","","","1","0","181","171","","","","","",""
"","","number-animation","72","4251261","0.0-72.0","","","","","","","","","","","","",""
"","","training_avg","73","4257145","0.0-73.0","","","","1","1","188","169","","","","","",""
"","","number-animation","74","4264605","0.0-74.0","","","","","","","","","","","","",""
"","","training_avg","75","4270954","0.0-75.0","","","","1","2","188","172","","","","","",""
"","","number-animation","76","4278399","0.0-76.0","","","","","","","","","","","","",""
"","","training_avg","77","4283740","0.0-77.0","","","","1","3","177","175","","","","","",""
"","","number-animation","78","4292164","0.0-78.0","","","","","","","","","","","","",""
"","","training_avg","79","4298468","0.0-79.0","","","","1","4","182","180","","","","","",""
"","","bar-choose","80","4313924","0.0-80.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"426436","/tickets/utils/testing2.html","html","81","4741374","0.0-81.0","","","","","","","","","","","","",""
"","","ticket-choose","82","4751144","0.0-82.0","","","","1","0","","","","","158","3","0",""
"","","ticket-choose","83","4765341","0.0-83.0","","","","1","1","","","","","169","1","4",""
"","","ticket-choose","84","4771934","0.0-84.0","","","","1","2","","","","","151","3","0",""
"","","ticket-choose","85","4778826","0.0-85.0","","","","1","3","","","","","175","1","3",""
"","","ticket-choose","86","4789151","0.0-86.0","","","","1","4","","","","","172","1","3",""
"","","ticket-choose","87","4794513","0.0-87.0","","","","1","5","","","","","186","0","6",""
"","","ticket-choose","88","4801016","0.0-88.0","","","","1","6","","","","","230","0","9",""
"","","ticket-choose","89","4807525","0.0-89.0","","","","1","7","","","","","171","2","1",""
"","","ticket-choose","90","4817164","0.0-90.0","","","","1","8","","","","","163","3","0",""
"","","ticket-choose","91","4821363","0.0-91.0","","","","1","9","","","","","148","3","0",""
"","","ticket-choose","92","4834604","0.0-92.0","","","","1","10","","","","","160","2","1",""
"","","ticket-choose","93","4842166","0.0-93.0","","","","1","11","","","","","156","1","2",""
"","","ticket-choose","94","4851108","0.0-94.0","","","","1","12","","","","","165","2","1",""
"","","ticket-choose","95","4860651","0.0-95.0","","","","1","13","","","","","149","3","0",""
"","","ticket-choose","96","4869991","0.0-96.0","","","","1","14","","","","","179","1","3",""
"","","ticket-choose","97","4878823","0.0-97.0","","","","1","15","","","","","167","1","2",""
"","","ticket-choose","98","4885625","0.0-98.0","","","","1","16","","","","","196","0","6",""
"","","ticket-choose","99","4888194","0.0-99.0","","","","1","17","","","","","183","0","6",""
"","","ticket-choose","100","4891041","0.0-100.0","","","","1","18","","","","","181","0","6",""
"","","ticket-choose","101","4893377","0.0-101.0","","","","1","19","","","","","169","1","4",""
"","","ticket-choose","102","4896891","0.0-102.0","","","","1","20","","","","","143","3","0",""
"","","ticket-choose","103","4899193","0.0-103.0","","","","1","21","","","","","169","1","4",""
"","","ticket-choose","104","4901608","0.0-104.0","","","","1","22","","","","","145","3","0",""
"","","ticket-choose","105","4903692","0.0-105.0","","","","1","23","","","","","137","3","0",""
"","","ticket-choose","106","4906009","0.0-106.0","","","","1","24","","","","","161","3","0",""
"","","ticket-choose","107","4908510","0.0-107.0","","","","1","25","","","","","156","3","0",""
"","","ticket-choose","108","4910576","0.0-108.0","","","","1","26","","","","","181","1","4",""
"","","ticket-choose","109","4912764","0.0-109.0","","","","1","27","","","","","179","1","4",""
"","","ticket-choose","110","4914965","0.0-110.0","","","","1","28","","","","","184","1","4",""
"","","ticket-choose","111","4917248","0.0-111.0","","","","1","29","","","","","222","0","9",""
"","","ticket-choose","112","4920232","0.0-112.0","","","","1","30","","","","","203","0","8",""
"","","ticket-choose","113","4922780","0.0-113.0","","","","1","31","","","","","178","1","4",""
"","","ticket-choose","114","4925311","0.0-114.0","","","","1","32","","","","","180","0","6",""
"","","ticket-choose","115","4927622","0.0-115.0","","","","1","33","","","","","161","1","4",""
"","","ticket-choose","116","4929953","0.0-116.0","","","","1","34","","","","","181","0","5",""
"","","ticket-choose","117","4932016","0.0-117.0","","","","1","35","","","","","140","3","0",""
"","","ticket-choose","118","4933728","0.0-118.0","","","","1","36","","","","","159","3","0",""
"","","ticket-choose","119","4935473","0.0-119.0","","","","1","37","","","","","175","1","4",""
"","","ticket-choose","120","4937288","0.0-120.0","","","","1","38","","","","","178","1","4",""
"","","ticket-choose","121","4938969","0.0-121.0","","","","1","39","","","","","170","1","4",""
"","","ticket-choose","122","4940656","0.0-122.0","","","","1","40","","","","","157","3","0",""
"","","ticket-choose","123","4943976","0.0-123.0","","","","1","41","","","","","175","1","4",""
"","","ticket-choose","124","4945984","0.0-124.0","","","","1","42","","","","","182","1","3",""
"","","ticket-choose","125","4948712","0.0-125.0","","","","1","43","","","","","126","3","0",""
"","","ticket-choose","126","4951032","0.0-126.0","","","","1","44","","","","","198","0","8",""
"","","ticket-choose","127","4953192","0.0-127.0","","","","1","45","","","","","210","0","7",""
"","","ticket-choose","128","4956168","0.0-128.0","","","","1","46","","","","","188","0","6",""
"","","ticket-choose","129","4958376","0.0-129.0","","","","1","47","","","","","201","0","9",""
"","","ticket-choose","130","4960288","0.0-130.0","","","","1","48","","","","","197","0","7",""
"","","ticket-choose","131","4962296","0.0-131.0","","","","1","49","","","","","189","0","7",""
"","","bar-choose","132","4975744","0.0-132.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"","","final","133","4989665","0.0-133.0","","","","","","","","","","","","","Nothing"
