"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","data_tag","data","result","points","place","sequence","times","during"
"1498","/tickets/utils/consent.html","html","0","1797","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","age","1","7510","0.0-1.0","23","m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","instructions_check","2","11780","0.0-2.0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1048","/tickets/utils/start.html","html","3","14506","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","4","18653","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1214","/tickets//utils/testing.html","html","5","20983","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","6","21989","0.0-6.0","","","","","","","10","47","35","11","42","14","12","38","24","2","44","7","40","45","49","37","22","0","9","43","5","21","23","31","41","30","33","15","28","29","6","3","32","4","34","27","18","13","19","26","48","36","8","20","1","16","17","46","39","25","p1_testing_order","10,47,35,11,42,14,12,38,24,2,44,7,40,45,49,37,22,0,9,43,5,21,23,31,41,30,33,15,28,29,6,3,32,4,34,27,18,13,19,26,48,36,8,20,1,16,17,46,39,25","","","","","",""
"","","ticket-choose","7","26590","0.0-7.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","1","4","-1","1314",""
"560","/tickets/utils/testing_after.html","html","8","28351","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ticket-choose","9","32293","0.0-9.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","1","4","0","394",""
"","","ticket-choose","10","34943","0.0-10.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","0","8","1","410",""
"","","ticket-choose","11","36788","0.0-11.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","1","2","2","437",""
"","","bar-choose","12","46310","0.0-12.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1832","/tickets/utils/start2.html","html","13","49346","0.0-13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","14","52378","0.0-14.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"969","/tickets/utils/testing2.html","html","15","54452","0.0-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","16","55456","0.0-16.0","","","","","","","3","21","16","11","26","20","8","18","4","37","25","36","31","48","10","49","14","44","7","27","19","13","2","0","33","42","40","9","45","41","1","29","12","24","22","46","32","39","35","15","6","28","47","43","23","30","34","17","5","38","p2_testing_order","3,21,16,11,26,20,8,18,4,37,25,36,31,48,10,49,14,44,7,27,19,13,2,0,33,42,40,9,45,41,1,29,12,24,22,46,32,39,35,15,6,28,47,43,23,30,34,17,5,38","","","","","",""
"","","ticket-choose","17","161246","0.0-17.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","1","4","0","102778",""
"","","ticket-choose","18","184115","0.0-18.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","0","6","1","17949,2036",""
"","","ticket-choose","19","191978","0.0-19.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179","1","4","2","6187",""
"","","bar-choose","20","195011","0.0-20.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","final","21","208194","0.0-21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Talking with a friend"
