"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","data_tag","data","result","points","place","sequence","times","during"
"2057","/tickets/utils/consent.html","html","0","3060","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","age","1","6222","0.0-1.0","89","m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","instructions_check","2","10708","0.0-2.0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1177","/tickets/utils/start.html","html","3","15537","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","4","20317","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1374","/tickets//utils/testing.html","html","5","22859","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","6","23872","0.0-6.0","","","","","","","31","24","46","29","28","13","36","15","48","14","45","12","4","9","18","25","27","23","20","10","43","42","3","32","38","1","5","40","35","34","30","2","33","49","39","41","6","16","19","47","7","0","26","11","8","37","22","44","21","17","p1_testing_order","31,24,46,29,28,13,36,15,48,14,45,12,4,9,18,25,27,23,20,10,43,42,3,32,38,1,5,40,35,34,30,2,33,49,39,41,6,16,19,47,7,0,26,11,8,37,22,44,21,17","","","","","",""
"","","ticket-choose","7","29961","0.0-7.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","1","2","-1","1499,816",""
"1113","/tickets/utils/testing_after.html","html","8","32266","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ticket-choose","9","35912","0.0-9.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","1","2","0","1182",""
"","","ticket-choose","10","39565","0.0-10.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","3","0","1","1048",""
"","","ticket-choose","11","45715","0.0-11.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226","0","9","2","1038,1145,921",""
"","","bar-choose","12","51064","0.0-12.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1399","/tickets/utils/start2.html","html","13","53626","0.0-13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","14","58511","0.0-14.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1053","/tickets/utils/testing2.html","html","15","60959","0.0-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","16","61963","0.0-16.0","","","","","","","9","10","29","35","21","27","20","34","13","5","40","6","45","28","22","11","42","46","33","17","26","4","31","1","37","24","32","2","41","30","38","3","36","44","16","15","7","47","18","23","19","39","43","48","8","25","49","0","14","12","p2_testing_order","9,10,29,35,21,27,20,34,13,5,40,6,45,28,22,11,42,46,33,17,26,4,31,1,37,24,32,2,41,30,38,3,36,44,16,15,7,47,18,23,19,39,43,48,8,25,49,0,14,12","","","","","",""
"","","ticket-choose","17","67569","0.0-17.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","0","6","0","1262,833",""
"","","ticket-choose","18","71023","0.0-18.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","1","4","1","687",""
"","","ticket-choose","19","73281","0.0-19.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158","3","0","2","252",""
"","","bar-choose","20","77952","0.0-20.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","final","21","102078","0.0-21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Talking with a friend"
