"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"","","number-animation","72","7673863","0.0-72.0","","","","","","","","","","","","",""
"","","training_avg","73","7676994","0.0-73.0","","","","1","1","199","170","","","","","",""
"","","number-animation","74","7685344","0.0-74.0","","","","","","","","","","","","",""
"","","training_avg","75","7688747","0.0-75.0","","","","1","2","199","170","","","","","",""
"","","number-animation","76","7696474","0.0-76.0","","","","","","","","","","","","",""
"","","training_avg","77","7699537","0.0-77.0","","","","1","3","210","170","","","","","",""
"","","number-animation","78","7707496","0.0-78.0","","","","","","","","","","","","",""
"","","training_avg","79","7710081","0.0-79.0","","","","1","4","202","170","","","","","",""
"","","bar-choose","80","7715817","0.0-80.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"1236","/tickets/utils/testing2.html","html","81","7718248","0.0-81.0","","","","","","","","","","","","",""
"","","ticket-choose","82","7726575","0.0-82.0","","","","1","0","","","","","114","3","0",""
"","","ticket-choose","83","7734327","0.0-83.0","","","","1","1","","","","","144","2","1",""
"","","ticket-choose","84","7739747","0.0-84.0","","","","1","2","","","","","127","3","0",""
"","","ticket-choose","85","7743367","0.0-85.0","","","","1","3","","","","","150","3","0",""
"","","ticket-choose","86","7749887","0.0-86.0","","","","1","4","","","","","168","1","2",""
"","","ticket-choose","87","7758611","0.0-87.0","","","","1","5","","","","","170","3","0",""
"","","ticket-choose","88","7761199","0.0-88.0","","","","1","6","","","","","152","3","0",""
"","","ticket-choose","89","7767314","0.0-89.0","","","","1","7","","","","","144","1","2",""
"","","ticket-choose","90","7775786","0.0-90.0","","","","1","8","","","","","157","3","0",""
"","","ticket-choose","91","7783916","0.0-91.0","","","","1","9","","","","","149","3","0",""
"","","ticket-choose","92","7787126","0.0-92.0","","","","1","10","","","","","136","3","0",""
"","","ticket-choose","93","7795542","0.0-93.0","","","","1","11","","","","","168","2","1",""
"","","ticket-choose","94","7805553","0.0-94.0","","","","1","12","","","","","163","2","1",""
"","","ticket-choose","95","7808071","0.0-95.0","","","","1","13","","","","","131","3","0",""
"","","ticket-choose","96","7816966","0.0-96.0","","","","1","14","","","","","182","1","3",""
"","","ticket-choose","97","7824275","0.0-97.0","","","","1","15","","","","","149","2","1",""
"","","ticket-choose","98","7834489","0.0-98.0","","","","1","16","","","","","170","3","0",""
"","","ticket-choose","99","7843528","0.0-99.0","","","","1","17","","","","","139","3","0",""
"","","ticket-choose","100","7853475","0.0-100.0","","","","1","18","","","","","149","3","0",""
"","","ticket-choose","101","7863112","0.0-101.0","","","","1","19","","","","","160","3","0",""
"","","ticket-choose","102","7866399","0.0-102.0","","","","1","20","","","","","121","3","0",""
"","","ticket-choose","103","7871078","0.0-103.0","","","","1","21","","","","","151","2","1",""
"","","ticket-choose","104","7875294","0.0-104.0","","","","1","22","","","","","156","2","1",""
"","","ticket-choose","105","7884265","0.0-105.0","","","","1","23","","","","","150","3","0",""
"","","ticket-choose","106","7893401","0.0-106.0","","","","1","24","","","","","173","2","1",""
"","","ticket-choose","107","7897674","0.0-107.0","","","","1","25","","","","","138","2","1",""
"","","ticket-choose","108","7915422","0.0-108.0","","","","1","26","","","","","193","1","4",""
"","","ticket-choose","109","7920491","0.0-109.0","","","","1","27","","","","","159","1","3",""
"","","ticket-choose","110","7928225","0.0-110.0","","","","1","28","","","","","138","3","0",""
"","","ticket-choose","111","7933695","0.0-111.0","","","","1","29","","","","","135","3","0",""
"","","ticket-choose","112","7937065","0.0-112.0","","","","1","30","","","","","143","3","0",""
"","","ticket-choose","113","7944406","0.0-113.0","","","","1","31","","","","","170","1","2",""
"","","ticket-choose","114","7948204","0.0-114.0","","","","1","32","","","","","163","1","4",""
"","","ticket-choose","115","7953454","0.0-115.0","","","","1","33","","","","","169","2","1",""
"","","ticket-choose","116","7961306","0.0-116.0","","","","1","34","","","","","171","1","2",""
"","","ticket-choose","117","7964848","0.0-117.0","","","","1","35","","","","","163","3","0",""
"","","ticket-choose","118","7969758","0.0-118.0","","","","1","36","","","","","160","3","0",""
"","","ticket-choose","119","7978382","0.0-119.0","","","","1","37","","","","","116","3","0",""
"","","ticket-choose","120","7990100","0.0-120.0","","","","1","38","","","","","126","3","0",""
"","","ticket-choose","121","7999499","0.0-121.0","","","","1","39","","","","","256","0","8",""
"","","ticket-choose","122","8008397","0.0-122.0","","","","1","40","","","","","187","1","3",""
"","","ticket-choose","123","8014908","0.0-123.0","","","","1","41","","","","","163","2","1",""
"","","ticket-choose","124","8018404","0.0-124.0","","","","1","42","","","","","115","3","0",""
"","","ticket-choose","125","8023217","0.0-125.0","","","","1","43","","","","","141","3","0",""
"","","ticket-choose","126","8027151","0.0-126.0","","","","1","44","","","","","148","2","1",""
"","","ticket-choose","127","8031843","0.0-127.0","","","","1","45","","","","","152","1","3",""
"","","ticket-choose","128","8039069","0.0-128.0","","","","1","46","","","","","136","3","0",""
"","","ticket-choose","129","8045761","0.0-129.0","","","","1","47","","","","","199","1","3",""
"","","ticket-choose","130","8055490","0.0-130.0","","","","1","48","","","","","138","3","0",""
"","","ticket-choose","131","8059787","0.0-131.0","","","","1","49","","","","","137","3","0",""
"","","bar-choose","132","8066226","0.0-132.0","","","","1","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","","","",""
"","","final","133","8083055","0.0-133.0","","","","","","","","","","","","","Nothing"
